Title,URL,Image URL,Price,Rating,Reviews,Badge,Sponsored,Brand
Amazon Brand - Jam & Honey Soft Penguin Plush Toy for Kids | Soft Toy for Boys and Girls | Super-Soft and Safe| Ideal for Gifting | Height 17 cm | Black and White,https://www.amazon.in/Amazon-Brand-Penguin-Super-Soft-Birthday/dp/B0C46HFZX6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-11,https://m.media-amazon.com/images/I/61A2ddWFQxL._AC_UL320_.jpg,198,4.4,13137,Ends in 02:41:19,False,Amazon
SCOOBA Super Soft 30cm Small White Color Cow Soft Toy - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play,https://www.amazon.in/SCOOBA-Super-Soft-30cm-Small/dp/B08SWP7FTB/ref=sr_1_12?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-12,https://m.media-amazon.com/images/I/51y39ofWmfL._AC_UL320_.jpg,379,4.2,575,Limited time deal,False,SCOOBA
Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 Cm),https://www.amazon.in/Babique-Pluto-Stuffed-Plush-Yellow/dp/B07ZJG1FGL/ref=sr_1_13?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-13,https://m.media-amazon.com/images/I/61val7qNvyL._AC_UL320_.jpg,307,4.2,2320,,False,Babique
HUG 'n' FEEL SOFT TOYS Random Color Baby Penguin Soft Toy 25 cm,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Penguin/dp/B0CW1VMD99/ref=sr_1_14?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-14,https://m.media-amazon.com/images/I/511I9BYWonL._AC_UL320_.jpg,299,4.0,34090,Limited time deal,False,HUG
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (28 Cm, Monkey)",https://www.amazon.in/Babique-Sitting-Monkey-Plush-Animal/dp/B08L21WXD8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-15,https://m.media-amazon.com/images/I/613HNieYoxL._AC_UL320_.jpg,179,4.2,3412,Limited time deal,False,Babique
"Future Shop Pack of 4 Panda, Squirrel, Griffe & Pink Dolphine. Best Soft Combo Toys Toy for Cute Kids Baby Boys/Girls Animal Stuffed Plush Toy Teddy Bear for Kids.",https://www.amazon.in/Future-Shop-Squirrel-Dolphine-Friendly/dp/B0C1NPYZB4/ref=sr_1_16?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-16,https://m.media-amazon.com/images/I/41CB-Bd3k3L._AC_UL320_.jpg,449,4.1,467,,False,Future
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (35cm, Avocado)",https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Huggable/dp/B0BLCLG8XJ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-17,https://m.media-amazon.com/images/I/41DX4usBUXL._AC_UL320_.jpg,399,4.0,34090,Limited time deal,False,HUG
"Niku Doll (30cm, Pink) | Soft Plush Doll Toy with Rabbit Ear, Teddy Bear, Best Gift Toy and Pillow for Kids, Girls and Adults | Valentines",https://www.amazon.in/Niku-Super-Rabbit-Pillow-Adults/dp/B0CR886N1T/ref=sr_1_18?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-18,https://m.media-amazon.com/images/I/51iaZJwi7yL._AC_UL320_.jpg,325,4.1,622,Limited time deal,False,Niku
Babique Nemo Fish Toy Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls -Orange (25 cm),https://www.amazon.in/Babique-Plush-Animal-Decor-Orange/dp/B0CBZ6KL29/ref=sr_1_19?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-19,https://m.media-amazon.com/images/I/511vEf27jFL._AC_UL320_.jpg,209,4.2,141,Limited time deal,False,Babique
Storio Toy Plushie Super Soft Toys for Kids | Adorable Plush Soft Toys for Baby Boys and Girls Kids - Penguine Black & White,https://www.amazon.in/Storio-Plushie-Super-Adorable-Plush/dp/B0CQG83Q12/ref=sr_1_20?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHuxplvosVl0e-F_BzMt1MTBMX-2rEkogQzBj10PRm4Yxsjm5xZAWXtvUnjzdpYIk1AXtYMAAtM8AQpeNreIJ_OopHsgAMG7SHj2QyAd492L0U2x8VmmxYL5i6FwjbOGgbBcidqOrGd1iKgkNcF8_oj66aDkRiLWwcaAhXgBTotrqvzuK-VmE0fyR2gUa6aoql_wjhyeSA0t9127W3olBAf1FuPFKtZxUrZM122TZWS6wovNM4GW7xRgMPkz5nOB8FKUrjN6Ym-Gt5rx22TYjVx8.aU9mxNsCG6gw06Q4KrJ18kEGt47qvoIadjPrDvpnYFs&dib_tag=se&keywords=soft+toys&qid=1744126406&sr=8-20,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,188,4.2,1565,Best seller,False,Storio
